bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,271.59,45.59,,,,,116,2019Q3,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,4713085.12,1553745.73,,,,,116,2019Q3,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,70924.7,21827.52,,,,,116,2019Q3,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,89169.03,34189.25,,,,,116,2019Q3,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,37640.82,20090.59,,,,,116,2019Q3,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,132651.75,37784.25,,,,,116,2019Q3,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,229615.73,28840.33,,,,,116,2019Q3,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,28060.47,10057,,,,,116,2019Q3,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1554684.4,545436.64,,,,,116,2019Q3,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,24093.77,9199.02,,,,,116,2019Q3,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1781.6,1765.6,,,,,116,2019Q3,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,230410.33,104243.14,,,,,116,2019Q3,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,13790.78,3153.91,,,,,116,2019Q3,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,7013.14,3626,,,,,116,2019Q3,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2550525.03,863541.67,,,,,116,2019Q3,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,590.67,186.37,,,,,116,2019Q3,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,33694.69,14950.05,,,,,116,2019Q3,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,6666.36,79.9,,,,,116,2019Q3,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,60919.7,15905,,,,,116,2019Q3,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,67235.39,14842.66,,,,,116,2019Q3,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,38079.06,9201.2,,,,,116,2019Q3,false
,2019 OFFICE OF THE MINORITY LEADER,CONFERENCE SECRETARY,PERSONNEL COMPENSATION,42666.66,19500,,,,,116,2019Q3,false
,2019 OFFICE OF THE MINORITY LEADER,CONFERENCE VICE CHAIR,PERSONNEL COMPENSATION,42500,25500,,,,,116,2019Q3,false
,2019 OFFICE OF THE MINORITY LEADER,REPUBLICAN POLICY COMMITTEE,PERSONNEL COMPENSATION,102000,51000,,,,,116,2019Q3,false
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1380908.42,467230.59,,,,,116,2019Q3,false
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,1445.57,0,,,,,116,2019Q3,false
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,15260.3,4969.06,,,,,116,2019Q3,false
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,9578.8,284.9,,,,,116,2019Q3,false
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,111019,44665,,,,,116,2019Q3,false
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,103707.67,19463.64,,,,,116,2019Q3,false
